index,entry_date,exit_date,strike,entry_spot,exit_spot,entry_vix,exit_vix,weekly_premium,monthly_premium,net_debit,lots,total_cost,pnl,pnl_pct,exit_reason,days_held,capital_after,year
BANKNIFTY,2023-10-18,2023-10-23,43900,43888.69921875,43151.19921875,11.838752748571979,10.559536189549416,287.8201789657541,595.8443783640589,308.0241993983048,1,4620.362990974572,-2333.5006774993926,-50.50470454502511,STOP_LOSS,3,40322.956280627186,2023
BANKNIFTY,2023-10-30,2023-11-06,43000,43039.1484375,43619.3984375,12.553805182644648,12.622451235717788,299.2964969256484,619.6026136806144,320.30611675496596,1,4804.591751324489,-154.36772992062572,-3.2129208455238873,EXPIRY,5,40168.58855070656,2023
BANKNIFTY,2023-11-08,2023-11-16,43700,43658.6484375,44161.55078125,11.415354647132304,11.359400902294288,276.07194470693463,571.5232228287671,295.45127812183244,1,4431.769171827486,-194.84935888101205,-4.39664953941326,EXPIRY,5,39973.73919182555,2023
BANKNIFTY,2023-11-20,2023-11-28,43600,43584.94921875,43880.94921875,11.503989341044784,8.165097797135752,277.7458599243191,574.9885565510954,297.24269662677625,1,4458.640449401644,-423.7974282975466,-9.505081943856245,EXPIRY,5,39549.941763528004,2023
BANKNIFTY,2024-01-10,2024-01-17,47400,47360.8515625,46064.44921875,12.301048318775356,19.063616694889536,322.7187554672226,668.0912955052722,345.37254003804964,1,5180.588100570744,-235.99654570598972,-4.555400682791014,VIX_SPIKE,5,39313.945217822016,2024
BANKNIFTY,2024-02-21,2024-02-28,47000,47019.69921875,45963.1484375,14.620915427622691,14.293375126581992,380.81758166062394,788.3672924881233,407.5497108274994,1,6113.245662412491,-2414.079801007721,-39.489330779732555,EXPIRY,5,36899.8654168143,2024
BANKNIFTY,2024-03-13,2024-03-20,47000,46981.30078125,46310.8984375,13.403478824876885,12.379833463356654,348.82302878302,722.1322754059465,373.30924662292654,1,5599.638699343898,-2371.462347870268,-42.35027428016256,EXPIRY,5,34528.403068944026,2024
BANKNIFTY,2024-04-16,2024-04-23,47500,47484.80078125,47970.44921875,10.819663404780801,11.744236210876384,284.59741407975537,589.1726212030019,304.5752071232465,1,4568.628106848698,1388.575737187573,30.39371348930764,TARGET,4,35916.9788061316,2024
BANKNIFTY,2024-05-08,2024-05-15,48000,48021.1015625,47687.44921875,14.736199906335578,13.884750851426944,391.9947058896646,811.506137936979,419.51143204731443,1,6292.671480709716,1163.7667141109346,18.494000802019936,EXPIRY,5,37080.74552024253,2024
BANKNIFTY,2024-05-29,2024-06-03,48500,48501.3515625,50979.94921875,12.360584261346602,19.06390814512205,332.0897105538696,687.4910155955896,355.40130504172,1,5331.0195756258,1985.5060710735768,37.2443965531772,TARGET,3,39066.25159131611,2024
BANKNIFTY,2024-07-09,2024-07-16,52600,52568.80078125,52396.80078125,12.992733623724225,13.196081026414017,378.3477744039984,783.2543057100901,404.90653130609167,1,6073.597969591375,1712.8427727671726,28.201451287076395,EXPIRY,5,40779.094364083285,2024
BANKNIFTY,2024-07-30,2024-08-06,51500,51499.30078125,49748.30078125,10.880535540658839,11.418321133062975,310.39461887932754,642.5779088814601,332.18329000213254,1,4982.749350031988,-1784.2980145708148,-35.80950774815434,EXPIRY,5,38994.79634951247,2024
